文本编号,句子长度-DESSL（06）,年级,短语长度-PhraseLength,短语密度-PhraseDensity,句子结构-SentenceStructure,句法相似-SYNSTRUT
51.txt,13.39999962,3,1.294999987,226.66666666666666,8.333333333333334,0.09
52.txt,12.31299973,3,1.5379999874999999,221.65833790666667,6.7683334366666665,0.1400000005
53.txt,13.31299973,3,2.2599999905,230.0466741,9.390000026666668,0.1209999995
54.txt,13.7329998,3,1.900000006,201.62599946666668,13.007999738666667,0.10350000100000001
55.txt,10.17599964,3,1.980499953,210.52633410666667,9.74666691,0.1789999975
56.txt,13.53299999,3,2.8544999955,221.67500303333335,11.494333585666666,0.12849999950000002
57.txt,16.7689991,3,2.8819999995,211.98166402333334,9.216333388,0.107000001
58.txt,13.75,3,2.066999972,222.7273305266667,10.60599963,0.1364999935
59.txt,11.93799973,3,1.911999971,219.89532980333334,6.98066648,0.137500003
6.txt,11.76500034,3,1.381500006,228.42667261666668,18.61266708466667,0.164499998
60.txt,13.86699963,3,1.902499944,228.6636708433333,12.882333913666669,0.1345000045
61.txt,14.53800011,3,2.620000124,219.25133769333334,10.694999693333335,0.112000003
63.txt,12.64700031,3,2.6134999100000003,223.2703323433333,11.00633335,0.166000001
64.txt,12.06299973,3,1.6954999865,252.15867103333335,8.63566653,0.150500007
65.txt,11.14299965,3,2.1535000505,235.63233439333337,12.930999756666667,0.1909999995
66.txt,9.899999619,3,1.708499998,219.96600087333331,16.92033354666667,0.1985
67.txt,18.18199921,3,3.0365000364999997,201.66666666666666,8.333333333333334,0.081500001
68.txt,17.85700035,3,3.0210000575,203.48033139999998,4.016000113333333,0.097999997
69.txt,20.2140007,3,3.486499995,218.22566733333335,10.791333197999998,0.1105000005
7.txt,21.29999924,3,2.586000055,210.69199880333335,17.295666696,0.0819999985
70.txt,17.86700058,3,2.8650000395,228.8556671,8.706333319333334,0.132000003
71.txt,21.63599968,3,3.4619999530000003,218.48766583333335,8.403333026666667,0.07200000100000001
72.txt,16.53300095,3,2.3569999935,243.27933756666667,6.720666408333334,0.130000003
74.txt,16.7689991,3,3.7875000235,227.82865907333337,10.703333536333332,0.1510000005
75.txt,17.2140007,3,2.4050000605,236.51466373333335,8.298999786,0.111999996
77.txt,20.30800056,3,3.026499897,222.2223332666667,7.575666426666667,0.08900000150000001
78.txt,19.41699982,3,2.3410000205,238.91266883333333,8.583666482333333,0.0595000015
79.txt,17.2670002,3,2.2770000395,220.07700603333333,9.009000144,0.09
8.txt,15.25,3,2.9300000964999997,227.27266693333334,9.641666412666668,0.109499998
80.txt,22.46199989,3,3.144999951,234.01799516666668,11.415666421333333,0.08900000150000001
81.txt,20.25,3,3.467000097,213.99200187,12.345333098,0.092
83.txt,17.63599968,3,2.4755000469999997,214.77633663999998,6.872999986666667,0.1044999995
84.txt,16.64299965,3,3.0014999510000004,221.74532573333332,10.014333090333333,0.084999997
85.txt,11.69999981,3,2.0000000595,222.22232816666664,14.245000203333333,0.1719999985
86.txt,17.92900085,3,3.4225000145,215.13966370666665,6.639999946,0.11350000299999999
87.txt,14.47099972,3,3.063000053,205.96233876666665,16.259999908,0.109000001
88.txt,15.375,3,1.684499979,214.96599831,2.7213331860000003,0.07200000100000001
89.txt,18.46699905,3,2.2805000545,238.26700083333333,9.626666465,0.079
9.txt,12.9289999,3,2.614499986,207.40733337333333,12.962999980000001,0.1250000035
93.txt,13.27299976,3,1.893999994,208.90433754,5.707666396666667,0.1085
94.txt,15.625,3,2.824000001,218.66666666666666,2.6666666666666665,0.1059999985
95.txt,18.35700035,3,2.518999934,216.60166167333333,18.158333143333333,0.11500000199999999
96.txt,19.15399933,3,2.1070000529999997,227.57700093333335,13.386666297333335,0.10150000049999999
99.txt,18.81800079,3,3.3270001115000003,204.50900269,8.051666577333334,0.1170000025
