文本编号,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,年级,复杂度-K
84.txt,64.81800079,2.332999945,2,0.2781363133425572
89.txt,111.3069992,2.028000116,2,-10.23137581061249
9.txt,69.71499634,2.246999979,2,-0.9653185958359103
91.txt,96.05899811,1.932999969,2,-6.60496476493536
92.txt,91.31999969,2.255000114,2,-3.002843759718047
93.txt,92.61000061,2.134000063,2,-5.2598496436824576
94.txt,97.04299927,2.130000114,2,-2.348779954071645
95.txt,93.58100128,2.009000063,2,-8.965549014176084
97.txt,88.7009964,1.998999953,2,-8.700424271678934
1.txt,100.0490036,2.029999971,3,-6.16604683544378
10.txt,105.4850006,2.301000118,3,0.2757370056084767
100.txt,107.7249985,2.246000051,3,-0.10509546235681455
11.txt,62.74000168,2.138999939,3,-6.126061909919542
12.txt,69.51399994,2.318000078,3,0.5915610497949615
13.txt,73.04799652,2.203000069,3,-3.921713486561586
14.txt,78.30400085,2.253999949,3,-1.0474585254415416
15.txt,80.48999786,2.220000029,3,1.5765602280046522
16.txt,92.07800293,2.24000001,3,-3.4657187694527636
17.txt,98.10399628,2.065000057,3,-6.113485334977696
18.txt,72.43499756,2.161999941,3,-2.5120551325463367
19.txt,97.93800354,2.092000008,3,-4.925065714067614
2.txt,67.87400055,2.217000008,3,-2.754599619405411
20.txt,62.24000168,2.226000071,3,0.5801628626957012
21.txt,76.62000275,2.049000025,3,-2.5644978073382703
22.txt,81.45800018,2.197999954,3,-0.014327194011272582
23.txt,108.8320007,2.315000057,3,-0.91936650926813
24.txt,76.01200104,2.111999989,3,-0.6408330106826696
25.txt,66.95500183,2.125999928,3,-0.3182665003204761
26.txt,92.30999756,2.299000025,3,-0.2877229209133674
27.txt,96.02400208,2.407000065,3,9.750957355240743
28.txt,91.29100037,2.262000084,3,2.1294419275259457
29.txt,81.94300079,2.029000044,3,-9.088855704664688
30.txt,89.51300049,2.23300004,3,-0.9832779974737775
31.txt,83.65499878,2.265000105,3,1.1938952402417016
32.txt,85.30400085,2.220000029,3,0.1786090722814464
